AMERIANA BANCORP,0855574,6035
AMERICA FIRST APARTMENT INVESTORS INC,1175167,6798
AMERICA FIRST TAX EXEMPT INVESTORS LP,1059142,6199
AMERICA MOVIL SA DE CV/,1129137,4813
AMERICA SERVICE GROUP INC /DE,0877476,8090
AMERICA WEST AIRLINES INC,0706270,4512
AMERICA WEST HOLDINGS CORP,1029863,4512
AMERICAN ACCESS TECHNOLOGIES INC,1043186,3444
AMERICAN ACHIEVEMENT CORP,1168468,3911
AMERICAN AFFORDABLE HOUSING II LIMITED PARTNERSHIP,0815024,6513
AMERICAN AIRLINES INC,0004515,4512
AMERICAN AMMUNITION INC/FL,1123648,3990
AMERICAN ASSET MANAGEMENT CORP,0852015,6162
AMERICAN AXLE  MANUFACTURING HOLDINGS INC,1062231,3714
AMERICAN BANK INC,1163747,6021
AMERICAN BANK NOTE HOLOGRAPHICS INC,1052489,7389
AMERICAN BAR ASSOCIATION MEMBERS STATE STREET COLLECTIVE TR,0878375,6799
AMERICAN BEVERAGE CO AMBEV,1113172,2080
AMERICAN BILTRITE INC,0004611,3089
AMERICAN BIO MEDICA CORP,0896747,2834
American Bonanza Gold Corp.,1072019,1000
AMERICAN BUSINESS CORP,0820408,4213
AMERICAN BUSINESS FINANCIAL SERVICES INC /DE/,0772349,6162
AMERICAN CAMPUS COMMUNITIES INC,1283630,6798
AMERICAN CAPITAL HOLDINGS INC,1288012,6770
American Casino  Entertainment Properties LLC,1297735,7990
AMERICAN CELLULAR CORP /DE/,1067075,4812
AMERICAN CHURCH MORTGAGE CO,0934543,6500
AMERICAN CLAIMS EVALUATION INC,0774517,8300
AMERICAN COLOR GRAPHICS INC,0856709,2750
AMERICAN COMMERCE SOLUTIONS Inc,0949982,3559
AMERICAN COMMUNITY BANCSHARES INC,1106980,6022
AMERICAN COMMUNITY PROPERTIES TRUST,1065645,6552
AMERICAN CONSOLIDATED MANAGEMENT GROUP INC,0891713,1000
AMERICAN CONSUMERS INC,0004811,5411
AMERICAN CRYSTAL SUGAR CO /MN/,0004828,2060
AMERICAN DAIRY INC,0789868,2020
AMERICAN DENTAL PARTNERS INC,1028087,8090
AMERICAN EAGLE OUTFITTERS INC,0919012,5651
AMERICAN ECOLOGY CORP,0742126,4953
AMERICAN EDUCATION CORP,0705003,7372
AMERICAN ELECTRIC POWER CO INC,0004904,4911
AMERICAN ENERGY GROUP LTD,0843212,1311
AMERICAN EQUITY INVESTMENT LIFE HOLDING CO,1039828,6311
AMERICAN EXPRESS CENTURION BANK,0949348,6189
AMERICAN EXPRESS CO,0004962,6199
AMERICAN EXPRESS CREDIT ACCOUNT MASTER TRUST,1003509,6189
AMERICAN EXPRESS CREDIT CORP,0004969,6153
AMERICAN EXPRESS MASTER TRUST,0887616,6189
AMERICAN EXPRESS RECEIVABLES FINANCING CORP,0887617,6189
AMERICAN EXPRESS RECEIVABLES FINANCING CORP II,0949349,6189
AMERICAN EXPRESS RECEIVABLES FINANCING CORP III LLC,1283434,6189
AMERICAN EXPRESS RECEIVABLES FINANCING CORP IV LLC,1283435,6189
AMERICAN FINANCIAL GROUP INC,1042046,6331
AMERICAN FINANCIAL REALTY TRUST,1193558,6798
AMERICAN FRONTIERS MARKETING CO,1101915,6770
AMERICAN GENERAL FINANCE CORP,0025598,6141
AMERICAN GENERAL FINANCE INC,0025600,6141
AMERICAN GOLDEN CENTURY INVESTMENTS INC,1094656,7389
AMERICAN GOLDFIELDS INC,1167886,1400
AMERICAN GREETINGS CORP,0005133,2771
AMERICAN HEALTHCHOICE INC /NY/,0854862,8011
American Home Food Products  Inc.,0945634,3272
AMERICAN HOME MORTGAGE INVESTMENT CORP,1256536,6798
AMERICAN HOME MORTGAGE INVESTMENT TRUST 2004-3,1304963,6189
AMERICAN HOMEPATIENT INC,0879181,8082
AMERICAN INDEPENDENCE CORP,0097196,6321
AMERICAN INTERNATIONAL GROUP INC,0005272,6331
AMERICAN INTERNATIONAL INDUSTRIES INC,1073146,6799
AMERICAN INTERNATIONAL VENTURES INC /DE/,0005656,9995
AMERICAN ISRAELI PAPER MILLS LTD,0005337,2621
AMERICAN ITALIAN PASTA CO,0849667,2090
AMERICAN LAND LEASE INC,0804138,6798
AMERICAN LEISURE HOLDINGS  INC.,1124197,6500
AMERICAN LIFE HOLDING CO INC,1187449,6411
